./Planning/pddlXpSym/flip/flip_1_p_t10.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
9,x10,0,4,30,21,53,58,30,0.27718027809169143
10,x11,0,4,30,21,53,59,30,0.2808245320338756
11,x19,1,4,30,21,53,60,30,0.284475859021768
12,x20,0,4,30,21,53,61,30,0.28813118604011834
13,x6,1,2,58,21,81,62,24,0.29183194099459797
14,x13,0,2,23,21,46,63,23,0.2953955460106954
15,x17,1,1,61,21,84,64,22,0.29903790110256523
16,x18,1,1,22,21,45,65,22,0.30211382103152573
17,x2,1,1,22,21,45,66,22,0.3051591881085187
18,x3,0,1,22,21,45,67,22,0.30821726110298187
19,x1,1,1,22,21,45,68,22,0.3112925901077688
20,x4,0,1,22,21,45,69,22,0.3143308199942112
21,x15,1,1,22,21,45,70,22,0.31736732204444706
./Planning/pddlXpSym/flip/flip_1_p_t6.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,128,65,25,91,60,62,0.21573598391842097
1,x18,0,96,68,25,95,60,60,0.27230930095538497
2,x5,0,72,133,25,160,61,58,0.2776589959394187
3,x24,1,36,82,25,109,62,56,0.28298308700323105
4,x11,0,24,82,25,109,63,55,0.2879125230247155
5,x7,1,16,113,25,140,64,50,0.29296175902709365
6,x16,1,8,56,25,83,65,36,0.2975777519168332
7,x20,1,4,92,25,119,66,34,0.3020709570264444
8,x9,0,4,35,25,62,67,35,0.30605755595024675
9,x8,1,4,35,25,62,68,35,0.3095013969577849
10,x10,0,4,35,25,62,69,35,0.3129159579984844
11,x6,1,2,47,25,74,70,28,0.3163662019651383
12,x13,0,2,28,25,55,71,28,0.3195478239795193
13,x14,0,2,28,25,55,72,28,0.32270709692966193
14,x22,1,2,28,25,55,73,28,0.32586575392633677
15,x17,1,1,30,25,57,74,26,0.3290512359235436
16,x12,0,1,26,25,53,75,26,0.3321753590134904
17,x23,0,1,26,25,53,76,26,0.3353265420300886
18,x21,1,1,26,25,53,77,26,0.3384378330083564
19,x2,1,1,26,25,53,78,26,0.3415532319340855
20,x19,0,1,26,25,53,79,26,0.34468993498012424
21,x3,0,1,26,25,53,80,26,0.347811508923769
22,x1,1,1,26,25,53,81,26,0.3509361930191517
