./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
2,x12,1,291,189,15,221,0,136,0.030073689005803317
3,x14,0,238,169,15,198,0,93,0.03337758200359531
4,x3,1,188,99,15,128,0,79,0.03652992600109428
5,x15,0,150,99,15,128,0,44,0.039361019007628784
6,x10,0,116,59,15,100,0,28,0.04198583398829214
7,x13,1,94,44,15,61,0,27,0.04434836600557901
8,x9,1,72,37,15,72,0,21,0.04665110001224093
9,x6,1,48,22,15,56,0,14,0.048783645004732534
10,x5,1,32,14,15,41,0,11,0.05081282398896292
11,x11,1,16,18,15,35,0,12,0.05274724599439651
12,x8,1,8,17,15,34,0,13,0.05464140299591236
13,x7,1,4,18,15,35,0,14,0.05646576199796982
14,x2,1,2,15,15,32,0,15,0.05823754900484346
15,x1,1,1,16,15,33,0,16,0.05993494900758378
./DatasetA/instance_K3_N15_M45_08.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,280,170,15,186,0,170,0.029797975992551073
1,x15,0,279,175,15,205,0,161,0.03402283799368888
2,x9,0,253,183,15,238,0,154,0.03749342300579883
3,x14,0,225,182,15,237,0,130,0.04091593500925228
4,x12,1,202,155,15,211,0,102,0.04416225099703297
5,x7,1,156,132,15,185,0,78,0.047215069993399084
6,x11,1,112,110,15,161,0,69,0.04998779101879336
7,x2,1,88,71,15,112,0,45,0.05258345801848918
8,x6,0,60,65,15,93,0,48,0.054951529018580914
9,x3,0,42,53,15,82,0,35,0.05723894899711013
10,x5,1,28,42,15,69,0,22,0.059376410994445905
11,x13,1,16,27,15,44,0,12,0.06137528899125755
12,x10,1,8,19,15,36,0,13,0.06328448199201375
13,x8,1,4,19,15,36,0,14,0.06511496400344186
14,x4,1,2,17,15,34,0,15,0.06688794001820497
15,x1,1,1,16,15,33,0,16,0.06858499301597476
./DatasetA/instance_K3_N15_M45_09.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,228,149,15,164,0,149,0.022193933982634917
1,x11,1,218,164,15,247,0,126,0.02619049299391918
2,x1,1,195,127,15,205,0,106,0.029568430996732786
3,x12,0,164,145,15,213,0,78,0.031740428996272385
4,x14,0,141,93,15,153,0,56,0.033885108976392075
5,x8,0,120,71,15,115,0,57,0.03581719097564928
6,x3,0,92,61,15,105,0,49,0.03766979297506623
7,x15,1,68,69,15,85,0,34,0.039378541987389326
8,x13,1,56,40,15,57,0,28,0.0410400069958996
9,x5,0,36,34,15,67,0,21,0.04258717197808437
10,x7,0,28,30,15,56,0,18,0.04406586999539286
11,x9,1,16,21,15,51,0,12,0.045494539983337745
12,x10,1,8,19,15,36,0,13,0.04682890998083167
13,x6,1,4,17,15,34,0,14,0.0481156199821271
14,x4,1,2,17,15,34,0,15,0.04936699697282165
15,x2,1,1,17,15,34,0,16,0.050562115997308865
./DatasetA/instance_K3_N15_M45_10.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,302,227,15,242,0,227,0.02188394300173968
1,x1,0,284,228,15,287,0,207,0.025330131000373513
2,x13,0,256,264,15,320,0,177,0.0280206460156478
3,x11,0,222,235,15,289,0,146,0.030760332010686398
4,x4,0,181,153,15,202,0,124,0.03324960600002669
5,x5,0,151,136,15,180,0,101,0.0354140360141173
6,x9,1,111,140,15,177,0,92,0.03742722299648449
7,x8,0,81,119,15,154,0,68,0.039417596999555826
8,x6,1,55,84,15,118,0,46,0.04122227901825681
9,x2,1,39,48,15,82,0,30,0.042863897018833086
10,x15,1,26,44,15,59,0,22,0.04436670200084336
11,x14,1,16,30,15,47,0,12,0.045820668019587174
12,x12,1,8,21,15,38,0,13,0.0471890100161545
13,x10,1,4,21,15,38,0,14,0.04850158101180568
14,x7,1,2,20,15,37,0,15,0.04976144601823762
15,x3,1,1,18,15,35,0,16,0.05098439200082794
./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,252,15,266,0,252,0.07008426199899986
1,x10,0,507,260,15,274,0,249,0.07644336600787938
2,x2,0,445,252,15,266,0,174,0.08118365300470032
3,x15,1,396,174,15,188,0,91,0.08521802999894135
4,x8,1,340,106,15,174,0,82,0.08862362499348819
5,x5,1,290,88,15,150,0,68,0.09191683301469311
6,x12,0,234,93,15,143,0,55,0.09497634699800983
7,x3,0,168,57,15,102,0,26,0.09799157798988745
8,x11,0,112,34,15,64,0,16,0.10063748399261385
9,x14,0,64,19,15,46,0,10,0.10316452500410378
10,x13,1,32,18,15,35,0,11,0.10555420600576326
11,x9,1,16,16,15,33,0,12,0.10790474899113178
12,x7,1,8,16,15,33,0,13,0.11015181499533355
13,x6,1,4,17,15,34,0,14,0.11234096699627116
14,x4,1,2,17,15,34,0,15,0.11444394101272337
15,x1,1,1,16,15,33,0,16,0.11648444601451047
./DatasetA/instance_K3_N15_M45_02.cnf
