./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
2,x12,1,246,59,15,76,46,46,0.10454309600754641
3,x9,1,96,45,15,62,47,15,0.10645148500043433
4,x11,1,36,26,15,43,48,15,0.1083540730032837
5,x4,1,36,14,15,31,49,14,0.11017317499499768
6,x14,0,36,14,15,31,50,14,0.11181672599923331
7,x15,0,36,14,15,31,51,14,0.11360689399589319
8,x3,1,36,14,15,31,52,14,0.11557118099881336
9,x1,0,24,25,15,42,53,13,0.11715911100327503
10,x2,1,16,24,15,40,54,12,0.11855105300492141
11,x7,0,8,13,15,30,55,13,0.11987998099357355
12,x5,1,4,14,15,31,56,14,0.12151444000483025
13,x13,1,4,14,15,31,57,14,0.12298379100684542
14,x6,0,2,15,15,32,58,15,0.12444190699898172
15,x8,1,1,16,15,33,59,16,0.12596996400679927
./DatasetA/instance_K3_N15_M45_08.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,280,131,15,146,45,128,0.07914005500788335
1,x7,1,209,164,15,180,45,85,0.1009549220034387
2,x15,0,208,75,15,92,46,62,0.10321848900639452
3,x2,1,160,70,15,87,47,53,0.10534666900639422
4,x9,0,150,57,15,74,48,44,0.1076171040040208
5,x14,0,122,54,15,71,49,40,0.10994197000400163
6,x12,1,108,35,15,52,50,25,0.11186382299638353
7,x6,0,72,34,15,51,51,28,0.11367645500286017
8,x11,1,60,27,15,44,52,21,0.11534396599745378
9,x8,0,32,22,15,39,53,13,0.11707839500741102
10,x5,1,16,14,15,31,54,12,0.11880905600264668
11,x4,1,8,13,15,30,55,13,0.12034098200092558
12,x1,1,4,14,15,31,56,14,0.12212394899688661
13,x3,0,4,14,15,31,57,14,0.12365681999654043
14,x10,1,2,15,15,32,58,15,0.12521420000120997
15,x13,0,1,16,15,33,59,16,0.12663555900508072
./DatasetA/instance_K3_N15_M45_09.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,228,114,15,129,45,111,0.07997130099101923
1,x11,1,218,124,15,140,45,88,0.10222526598954573
2,x12,0,187,110,15,127,46,66,0.10470765699574258
3,x1,1,164,68,15,85,47,54,0.10671899899898563
4,x9,1,109,70,15,87,48,44,0.10873817300307564
5,x8,0,90,56,15,73,49,32,0.11054722899280023
6,x15,1,57,42,15,59,50,31,0.11249034698994365
7,x5,1,27,29,15,46,51,20,0.11437685700366274
8,x14,0,18,25,15,42,52,15,0.11626541199802887
9,x6,1,18,15,15,32,53,15,0.11794784999801777
10,x7,1,18,15,15,32,54,15,0.11968769499799237
11,x3,0,12,28,15,44,55,14,0.12133665199507959
12,x13,1,8,14,15,31,56,13,0.12291255900345277
13,x4,0,4,14,15,31,57,14,0.12441184600174893
14,x2,1,2,15,15,32,58,15,0.12575811699207406
15,x10,0,1,16,15,33,59,16,0.1272962520015426
./DatasetA/instance_K3_N15_M45_10.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,302,155,15,171,45,153,0.08171990800474305
1,x11,0,268,154,15,170,45,125,0.10385915001097601
2,x2,1,180,152,15,168,46,71,0.10595967499830294
3,x1,0,165,104,15,121,47,65,0.10771841200767085
4,x13,0,151,63,15,80,48,49,0.10973222099710256
5,x4,0,135,54,15,71,49,41,0.11157109501073137
6,x8,0,100,38,15,55,50,22,0.11334866999823134
7,x12,0,64,19,15,36,51,15,0.11525301600340754
8,x5,0,48,16,15,33,52,15,0.11691753599734511
9,x7,0,32,25,15,42,53,13,0.11871006099681836
10,x9,0,16,14,15,31,54,14,0.120474645998911
11,x6,1,12,16,15,33,55,15,0.12208477400417905
12,x14,1,6,15,15,32,56,15,0.12361126100586262
13,x10,0,4,15,15,32,57,14,0.12528186400595587
14,x15,1,2,15,15,32,58,15,0.12683580500015523
15,x3,0,1,16,15,33,59,16,0.1284287559974473
./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,133,15,150,45,131,0.1845885911025107
1,x15,1,442,171,15,188,45,88,0.30588741204701364
2,x2,0,396,87,15,104,46,60,0.3103562721516937
3,x10,0,396,52,15,69,47,52,0.31439325818791986
