./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
2,x12,1,291,86,15,102,46,74,0.3077406859956682
3,x10,0,222,103,15,119,47,46,0.3125942569458857
4,x15,0,168,47,15,64,48,37,0.31698003492783755
5,x3,1,140,38,15,54,49,26,0.32098786800634116
6,x2,1,100,40,15,55,50,23,0.3249145339941606
7,x14,0,84,27,15,43,51,16,0.3287510849768296
8,x1,0,56,16,15,32,52,14,0.3324617230100557
9,x9,0,24,23,15,39,53,13,0.33600720192771405
10,x5,1,12,14,15,31,54,14,0.342500370927155
11,x13,1,6,15,15,32,55,15,0.3459627180127427
12,x11,1,6,15,15,32,56,15,0.34921008395031095
13,x7,0,4,27,15,44,57,14,0.35248496499843895
14,x6,0,2,15,15,32,58,15,0.3555551959434524
15,x8,0,1,16,15,33,59,16,0.3586391300195828
./DatasetA/instance_K3_N15_M45_08.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,280,131,15,146,45,128,0.19852026901207864
1,x15,0,279,129,15,145,45,117,0.3041769319679588
2,x9,0,253,119,15,135,46,98,0.31001029699109495
3,x14,0,225,121,15,137,47,92,0.3154290949460119
4,x12,1,202,84,15,100,48,60,0.32036752393469214
5,x2,1,146,64,15,80,49,44,0.3249953939812258
6,x11,1,121,43,15,59,50,32,0.32933195994701236
7,x6,0,85,50,15,66,51,32,0.33360759692732245
8,x7,1,60,41,15,57,52,19,0.34085257595870644
9,x3,0,42,32,15,48,53,17,0.3447376999538392
10,x8,0,24,27,15,43,54,13,0.3484418459702283
11,x4,1,16,13,15,30,55,12,0.35188315401319414
12,x1,1,8,13,15,30,56,13,0.35511776292696595
13,x10,0,4,14,15,31,57,14,0.358306024922058
14,x13,0,2,15,15,32,58,15,0.3614920249674469
15,x5,0,1,16,15,33,59,16,0.36474023503251374
./DatasetA/instance_K3_N15_M45_09.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,228,114,15,129,45,111,0.2111422079615295
1,x11,1,218,124,15,140,45,88,0.31420860392972827
2,x1,1,195,89,15,106,46,75,0.31959247903432697
3,x8,0,164,92,15,109,47,64,0.3243324910290539
4,x12,0,141,72,15,89,48,47,0.32891140796709806
5,x14,0,120,47,15,64,49,37,0.3333274789620191
6,x6,1,84,31,15,48,50,24,0.33752510393969715
7,x13,1,60,25,15,42,51,20,0.34161653299815953
8,x7,1,36,22,15,39,52,18,0.3458869989262894
9,x9,1,30,20,15,37,53,15,0.3497876819455996
10,x3,0,20,28,15,44,54,14,0.35347185796126723
11,x4,0,10,15,15,32,55,15,0.3569460540311411
12,x5,1,8,16,15,33,56,13,0.36053762794472277
13,x2,1,4,14,15,31,57,14,0.363899745978415
14,x15,1,2,15,15,32,58,15,0.3672641919692978
15,x10,0,1,16,15,33,59,16,0.37059832096565515
./DatasetA/instance_K3_N15_M45_10.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,302,155,15,171,45,153,0.20250022690743208
1,x1,0,284,190,15,206,45,137,0.3062740379245952
2,x13,0,256,136,15,152,46,116,0.3116694788914174
3,x11,0,222,114,15,129,47,83,0.31669246195815504
4,x4,0,181,119,15,133,48,72,0.32121041999198496
5,x8,0,135,73,15,90,49,41,0.32891787693370134
6,x5,0,108,36,15,53,50,30,0.3336501748999581
7,x2,1,76,38,15,55,51,21,0.337731406907551
8,x14,1,48,26,15,43,52,15,0.34156014397740364
9,x12,0,24,15,15,31,53,15,0.3451632399810478
10,x15,0,12,25,15,42,54,14,0.3488734569400549
11,x10,0,12,14,15,31,55,14,0.35227524396032095
12,x7,0,8,26,15,42,56,13,0.35568636399693787
13,x6,1,4,14,15,31,57,14,0.3588980418862775
14,x9,1,2,15,15,32,58,15,0.3620974658988416
15,x3,0,1,16,15,33,59,16,0.365290290908888
