./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
2,x4,0,24,53,15,70,46,13,0.2658765090163797
3,x5,0,8,24,15,41,47,13,0.26939682103693485
4,x3,0,0,13,15,30,48,1,0.27258578408509493
5,x8,1,0,1,15,19,49,1,0.27573906700126827
6,x15,0,0,1,15,19,50,1,0.27882843906991184
7,x7,1,0,1,15,19,51,1,0.2819921950576827
8,x12,1,0,1,15,19,52,1,0.2852044990286231
9,x10,1,0,1,15,19,53,1,0.2884265020256862
10,x6,0,0,1,15,19,54,1,0.29158867604564875
11,x9,0,0,1,15,19,55,1,0.29477300809230655
12,x14,0,0,1,15,19,56,1,0.2979586210567504
13,x13,1,0,1,15,19,57,1,0.30115915299393237
14,x1,1,0,1,15,19,58,1,0.3043145490810275
15,x2,0,0,1,15,19,59,1,0.30750181700568646
./DatasetA/instance_K3_N15_M45_08.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,280,131,15,146,45,128,0.19649233506061137
1,x11,0,62,149,15,165,45,81,0.26835230900906026
2,x4,0,11,70,15,86,46,29,0.2732357330387458
3,x5,0,7,29,15,46,47,17,0.2774067970458418
4,x3,0,4,26,15,43,48,17,0.28110352100338787
5,x8,1,4,16,15,33,49,16,0.2847030480625108
6,x15,0,3,24,15,41,50,16,0.2882728280965239
7,x7,1,3,16,15,33,51,16,0.2918920230586082
8,x12,1,3,16,15,33,52,16,0.29545289010275155
9,x10,1,1,30,15,47,53,16,0.2989534860244021
10,x6,0,1,16,15,33,54,16,0.3021766140591353
11,x9,0,1,16,15,33,55,16,0.3053904650732875
12,x14,0,1,16,15,33,56,16,0.30858335504308343
13,x13,1,1,16,15,33,57,16,0.31174994609318674
14,x1,1,0,16,15,33,58,1,0.31488468300085515
15,x2,0,0,1,15,19,59,1,0.32108585408423096
./DatasetA/instance_K3_N15_M45_09.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,228,114,15,129,45,111,0.19903539994265884
1,x11,0,10,141,15,157,45,32,0.25569749693386257
2,x4,0,10,27,15,44,46,27,0.2597828779835254
3,x5,0,2,29,15,46,47,15,0.2640227669617161
4,x3,0,2,15,15,32,48,15,0.26730372093152255
5,x8,1,0,15,15,32,49,1,0.2704715960426256
6,x15,0,0,1,15,19,50,1,0.2736164740053937
7,x7,1,0,1,15,19,51,1,0.2767515060259029
8,x12,1,0,1,15,19,52,1,0.2798299869755283
9,x10,1,0,1,15,19,53,1,0.2860395610332489
10,x6,0,0,1,15,19,54,1,0.2892629139823839
11,x9,0,0,1,15,19,55,1,0.2923703429987654
12,x14,0,0,1,15,19,56,1,0.29545907699503005
13,x13,1,0,1,15,19,57,1,0.2985309869982302
14,x1,1,0,1,15,19,58,1,0.30160319595597684
15,x2,0,0,1,15,19,59,1,0.30469611193984747
./DatasetA/instance_K3_N15_M45_10.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,302,155,15,171,45,153,0.20660915493499488
1,x11,0,268,154,15,170,45,125,0.2684563290094957
2,x4,0,201,189,15,205,46,106,0.2735475319204852
3,x5,0,166,119,15,135,47,81,0.27854022302199155
4,x3,0,81,105,15,121,48,54,0.2830217769369483
5,x8,1,27,56,15,73,49,32,0.2872861409559846
6,x15,0,12,34,15,51,50,24,0.2944593239808455
7,x7,1,8,36,15,53,51,24,0.2983666929649189
8,x12,1,6,29,15,46,52,18,0.30207166098989546
9,x10,1,3,20,15,37,53,16,0.3054847589228302
10,x6,0,3,16,15,33,54,16,0.3088412069482729
11,x9,0,1,18,15,35,55,16,0.31214319297578186
12,x14,0,0,16,15,33,56,1,0.3152234220178798
13,x13,1,0,1,15,19,57,1,0.3183632899308577
14,x1,1,0,1,15,19,58,1,0.3214249889133498
15,x2,0,0,1,15,19,59,1,0.3244506699265912
