./DatasetB/instance_K3_N30_M90_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
9,x23,1,3268,353,30,385,98,145,2.764642929076217
10,x20,0,1827,335,30,366,99,120,2.7736719839740545
11,x13,0,1334,149,30,180,100,68,2.7817559990799055
12,x30,0,1264,109,30,140,101,62,2.789109106059186
13,x10,0,816,156,30,187,102,50,2.7963683400303125
14,x11,0,816,46,30,77,103,46,2.8025541830575094
15,x6,1,488,122,30,154,104,46,2.807818028028123
16,x17,1,312,105,30,137,105,46,2.813533468055539
17,x18,1,232,83,30,115,106,38,2.818709551007487
18,x27,0,184,76,30,108,107,33,2.8238180270418525
19,x8,1,92,34,30,66,108,33,2.8287680770736188
20,x12,1,88,84,30,116,109,30,2.833534841076471
21,x28,0,88,30,30,62,110,30,2.83898895396851
22,x26,0,56,78,30,110,111,30,2.8433748020324856
23,x22,1,28,31,30,63,112,30,2.8478172830073163
24,x2,0,28,30,30,62,113,30,2.8521082049701363
25,x19,0,16,84,30,116,114,32,2.8565054420614615
26,x3,0,10,86,30,117,115,31,2.860584145062603
27,x1,1,6,85,30,116,116,31,2.864757084986195
28,x4,0,4,32,30,64,117,29,2.869182629045099
29,x15,1,2,33,30,65,118,30,2.872850529034622
30,x25,1,1,32,30,64,119,31,2.876431231969036
./DatasetB/instance_K3_N30_M90_05.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,35591,1802,30,1832,90,1799,2.375541073968634
1,x21,1,27752,2782,30,2813,90,1384,2.440323429997079
2,x7,1,27741,1478,30,1510,91,1368,2.4784840040374547
3,x9,0,21690,1633,30,1665,92,1188,2.503987350035459
4,x5,0,13633,2461,30,2493,93,949,2.5300327410222962
5,x16,0,8515,1164,30,1195,94,724,2.5576946439687163
6,x29,0,6272,997,30,1028,95,433,2.5756409929599613
7,x14,0,4120,424,30,455,96,318,2.5901995559688658
8,x24,0,2678,569,30,599,97,256,2.600992626976222
9,x23,0,1770,433,30,465,98,174,2.610913765965961
10,x20,1,1077,373,30,405,99,155,2.6197031049523503
11,x13,1,853,171,30,203,100,144,2.628560503013432
12,x30,1,770,166,30,198,101,86,2.6365492569748312
13,x10,0,545,126,30,158,102,85,2.6440652010496706
14,x11,1,298,149,30,181,103,53,2.650001147063449
15,x6,0,246,113,30,145,104,47,2.656574046006426
16,x17,0,138,70,30,102,105,34,2.6622283019823954
17,x18,0,78,83,30,115,106,34,2.6678155830595642
18,x27,0,60,63,30,95,107,30,2.673186630010605
19,x8,1,60,42,30,74,108,42,2.6782398109789938
20,x12,1,60,30,30,62,109,30,2.6829732389887795
21,x28,1,30,32,30,64,110,31,2.6877452690387145
22,x26,1,18,43,30,75,111,30,2.6927265820559114
23,x22,1,12,86,30,117,112,29,2.697800024994649
24,x2,0,12,29,30,61,113,29,2.7024150249781087
25,x19,0,12,29,30,61,114,29,2.7064552910160273
26,x3,1,12,29,30,61,115,29,2.710498876986094
